"taxa","CR_012P.8","CR_07P.24","CR_027P.6","CR_017P.16","CR_20P.10","CR_029P.10","CR_013P.5","CR_029P.11","CR_026P.12","CR_040P.3","CR_016P.5","CR_039P.15","CR_042P.5","CR_20P.19","CR_016P.12","CR_07P.14","CR_017P.14","CR_022P.10","CR_038P.18","CR_022P.2","CR_040P.9","CR_042P.3","CR_041P.9","CR_023P.2","CR_027P.13","CR_022P.3","CR_042P.16","CR_029P.15","CR_14P.8","CR_010P.18","CR_036P.2","CR_20P.16","CR_026P.4","CR_024P.10","CR_015P.12","CR_031P.17","CR_023P.18","CR_036P.9","CR_023P.14","CR_14P.5","CR_06P.9","CR_031P.8","CR_013P.21","CR_024P.2","CR_06P.1","CR_07P.5","CR_11P.8","CR_015P.6","CR_037P.1","CR_032P.18","CR_06P.12","CR_07P.16","CR_027P.18","CR_017P.3","CR_012P.14","CR_024P.8","CR_016P.21","CR_041P.15","CR_029P.14","CR_08P.3","CR_019P.18","CR_20P.15","CR_022P.12","CR_023P.17","CR_018P.6","CR_035P.12","CR_028P.16","CR_032P.15","CR_041P.17","CR_010P.2","CR_017P.20","CR_019P.13","CR_030P.6","CR_010P.4","CR_023P.7","CR_013P.22","CR_041P.14","CR_20P.8","CR_031P.16","CR_029P.2","CR_034P.2","CR_016P.23","CR_023P.16","CR_07P.3","CR_20P.11","CR_025P.1","CR_14P.3","CR_039P.7","CR_14P.12","CR_028P.19","CR_030P.17","CR_016P.9","CR_037P.16","CR_013P.3","CR_015P.19","CR_025P.15","CR_14P.13","CR_022P.6","CR_041P.1","CR_08P.10","CR_040P.8","CR_040P.10","CR_027P.12","CR_07P.12","CR_11P.5","CR_035P.5","CR_11P.15","CR_11P.19","CR_07P.15","CR_031P.14","CR_013P.11","CR_015P.18","CR_026P.5","CR_09P.14","CR_038P.4","CR_017P.7","CR_14P.9","CR_031P.6","CR_042P.13","CR_015P.4","CR_033P.3","CR_012P.6","CR_032P.1","CR_016P.18","CR_09P.4","CR_042P.8","CR_025P.11","CR_013P.6","CR_033P.11","CR_038P.14","CR_040P.15","CR_033P.14","CR_041P.18","CR_016P.13","CR_023P.19","CR_08P.7","CR_022P.7","CR_09P.18","CR_09P.3","CR_013P.7","CR_036P.16","CR_016P.7","CR_20P.6","CR_07P.6","CR_14P.15","CR_11P.16","CR_037P.4","CR_029P.8","CR_07P.13","CR_08P.12","CR_039P.14","CR_018P.7","CR_018P.4","CR_028P.7","CR_017P.10","CR_028P.10","CR_039P.4","CR_024P.11","CR_09P.5","CR_017P.1","CR_015P.8","CR_025P.12","CR_031P.9","CR_037P.9","CR_11P.21","CR_14P.4","CR_030P.16","CR_010P.11","CR_023P.3","CR_015P.13","CR_20P.2","CR_042P.1","CR_032P.17","CR_08P.11","CR_030P.2","CR_026P.13","CR_013P.13","CR_11P.18","CR_016P.15","CR_20P.12","CR_041P.7","CR_028P.11","CR_034P.1","CR_038P.1","CR_029P.9","CR_033P.10","CR_035P.11","CR_018P.2","CR_016P.2","CR_027P.2","CR_024P.7","CR_012P.11","CR_022P.11","CR_019P.14","CR_042P.15","CR_010P.6","CR_07P.9","CR_037P.13","CR_023P.15","CR_026P.6","CR_027P.8","CR_028P.13","CR_015P.17","CR_031P.11","CR_040P.4","CR_14P.18","CR_022P.9","CR_033P.2","CR_09P.1","CR_037P.10","CR_14P.19","CR_027P.19","CR_08P.13","CR_031P.13","CR_034P.4","CR_012P.9","CR_036P.12","CR_021P.15","CR_037P.5","CR_09P.12","CR_030P.14","CR_040P.2","CR_034P.12","CR_08P.4","CR_022P.4","CR_039P.11","CR_010P.16","CR_025P.18","CR_20P.9","CR_041P.4","CR_035P.2","CR_08P.15","CR_14P.10","CR_010P.17","CR_026P.8","CR_026P.3","CR_034P.18","CR_022P.16","CR_041P.16","CR_038P.10","CR_032P.14","CR_06P.5","CR_07P.17","CR_010P.10","CR_029P.17","CR_022P.14","CR_030P.1","CR_023P.13","CR_033P.8","CR_11P.23","CR_012P.4","CR_024P.5","CR_021P.12","CR_11P.17","CR_029P.6","CR_036P.14","CR_09P.11","CR_033P.17","CR_11P.24","CR_027P.15","CR_028P.6","CR_037P.6","CR_037P.8","CR_040P.5","CR_019P.15","CR_012P.13","CR_07P.2","CR_026P.19","CR_025P.2","CR_021P.18","CR_026P.2","CR_017P.12","CR_010P.15","CR_035P.16","CR_025P.19","CR_010P.22","CR_037P.11","CR_029P.3","CR_030P.7","CR_042P.14","CR_021P.17","CR_015P.1","CR_030P.4","CR_14P.16","CR_016P.16","CR_042P.10","CR_013P.12","CR_042P.4","CR_07P.7","CR_029P.12","CR_07P.4","CR_038P.2","CR_024P.9","CR_027P.3","CR_029P.13","CR_041P.12","CR_026P.18","CR_030P.10","CR_029P.1","CR_09P.8","CR_06P.4","CR_11P.11","CR_028P.2","CR_034P.8","CR_034P.3","CR_035P.3","CR_016P.1","CR_035P.17","CR_023P.1","CR_022P.18","CR_013P.19","CR_028P.4","CR_021P.3","CR_11P.14","CR_08P.6","CR_038P.11","CR_017P.9","CR_14P.7","CR_09P.6","CR_030P.15","CR_012P.10","CR_013P.1","CR_20P.18","CR_11P.4","CR_036P.15","CR_024P.4","CR_039P.8","CR_038P.17","CR_039P.18","CR_015P.9","CR_027P.1","CR_029P.4","CR_015P.16","CR_035P.10","CR_022P.1","CR_07P.22","CR_021P.19","CR_028P.1","CR_022P.8","CR_035P.9","CR_09P.17","CR_20P.7","CR_021P.7","CR_036P.1","CR_025P.13","CR_028P.9","CR_042P.9","CR_027P.7","CR_025P.9","CR_033P.5","CR_08P.14","CR_041P.13","CR_040P.16","CR_030P.9","CR_019P.12","CR_012P.1","CR_040P.18","CR_06P.2","CR_019P.16","CR_037P.7","CR_025P.5","CR_024P.3","CR_021P.1","CR_012P.15","CR_033P.7","CR_016P.8","CR_022P.19","CR_025P.17","CR_14P.11","CR_07P.11","CR_036P.17","CR_017P.19","CR_09P.10","CR_016P.10","CR_021P.8","CR_039P.1","CR_034P.6","CR_034P.17","CR_030P.3","CR_015P.3","CR_038P.15","CR_028P.5","CR_013P.2","CR_016P.24","CR_015P.7","CR_06P.10","CR_14P.2","CR_20P.4","CR_039P.12","CR_017P.4","CR_023P.6","CR_026P.16","CR_016P.11","CR_035P.7","CR_041P.2","CR_037P.2","CR_016P.6","CR_09P.7","CR_038P.5","CR_017P.6","CR_025P.7","CR_034P.5","CR_06P.11","CR_016P.3","CR_013P.9","CR_036P.13","CR_016P.14","CR_027P.4","CR_08P.9","CR_14P.17","CR_06P.6","CR_040P.12","CR_016P.19","CR_040P.11","CR_026P.1","CR_017P.8","CR_021P.11","CR_20P.5","CR_036P.4","CR_08P.8","CR_031P.4","CR_027P.5","CR_022P.13","CR_017P.2","CR_031P.7","CR_010P.9","CR_11P.1","CR_035P.1","CR_07P.23","CR_035P.15","CR_036P.18","CR_035P.13","CR_031P.1","CR_09P.16","CR_015P.14","CR_06P.13","CR_018P.3","CR_012P.3","CR_039P.3","CR_015P.11","CR_031P.3","CR_021P.13","CR_035P.8","CR_07P.8","CR_11P.2","CR_041P.5","CR_035P.4","CR_036P.6","CR_016P.20","CR_025P.14","CR_07P.10","CR_036P.5","CR_20P.14","CR_11P.20","CR_06P.7","CR_025P.16","CR_031P.5","CR_06P.3","CR_08P.16","CR_11P.9","CR_11P.22","CR_017P.18","CR_07P.1","CR_019P.11","CR_036P.7","CR_07P.21","CR_012P.16","CR_022P.15","CR_028P.17","CR_012P.7","CR_037P.12","CR_033P.12","CR_034P.13","CR_022P.17","CR_039P.9","CR_038P.7","CR_012P.5","CR_029P.7","CR_028P.18","CR_017P.5","CR_010P.21","CR_07P.20","CR_08P.5","CR_021P.6","CR_033P.16","CR_038P.12","CR_042P.11","CR_030P.13","CR_14P.14","CR_013P.15","CR_018P.5","CR_017P.15","CR_017P.17","CR_010P.8","CR_07P.18","CR_010P.23","CR_09P.2","CR_029P.18","CR_040P.6","CR_028P.15","CR_033P.13","CR_20P.13","CR_09P.19","CR_028P.14","CR_023P.10","CR_015P.10","CR_028P.3","CR_032P.12","CR_035P.14","CR_034P.10","CR_037P.3","CR_023P.4","CR_033P.18","CR_041P.11","CR_017P.11","CR_027P.14","CR_029P.16","CR_010P.14","CR_026P.14","CR_026P.11","CR_032P.16","CR_018P.1","CR_030P.5","CR_20P.17","CR_023P.11","CR_016P.22","CR_039P.13","CR_015P.2","CR_037P.14","CR_010P.7","CR_039P.17","CR_027P.10","CR_038P.8","CR_023P.8","CR_09P.9","CR_013P.18","CR_037P.15","CR_041P.6","CR_20P.3","CR_041P.8","CR_11P.7","CR_034P.14","CR_032P.13","CR_016P.17","CR_041P.3","CR_021P.16","CR_030P.8","CR_038P.13","CR_07P.19","CR_040P.14","CR_030P.12","CR_023P.5","CR_036P.10","CR_019P.17","CR_038P.6","CR_037P.18","CR_026P.7","CR_036P.3","CR_023P.9","CR_010P.19","CR_013P.17","CR_040P.1","CR_14P.1","CR_033P.1","CR_042P.6","CR_023P.12","CR_042P.2","CR_09P.15","CR_010P.3","CR_037P.17","CR_021P.5","CR_029P.5","CR_030P.11","CR_042P.12","CR_013P.20","CR_010P.1","CR_034P.16","CR_038P.16","CR_021P.9","CR_025P.3","CR_015P.20","CR_024P.1","CR_027P.11","CR_026P.15","CR_034P.11","CR_041P.10","CR_026P.17","CR_027P.17","CR_042P.7","CR_034P.7","CR_017P.13","CR_013P.16","CR_010P.13","CR_038P.9","CR_036P.8","CR_021P.2","CR_024P.6","CR_039P.2","CR_019P.19","CR_031P.12","CR_033P.6","CR_11P.3","CR_08P.1","CR_039P.10","CR_14P.6","CR_026P.9","CR_033P.4","CR_021P.14","CR_036P.11","CR_021P.4","CR_022P.5","CR_025P.6","CR_11P.13","CR_09P.13","CR_11P.6","CR_028P.8","CR_11P.12","CR_031P.2","CR_013P.14","CR_039P.16","CR_033P.15","CR_034P.15","CR_021P.10","CR_11P.10","CR_015P.15","CR_012P.12","CR_010P.5","CR_013P.4","CR_031P.18","CR_025P.8","CR_038P.3","CR_016P.4","CR_06P.8","CR_08P.2","CR_013P.10","CR_040P.7","CR_027P.16","CR_025P.10","CR_040P.17","CR_031P.10","CR_20P.1","CR_035P.6","CR_025P.4","CR_012P.2","CR_027P.9","CR_026P.10","CR_015P.5","CR_033P.9","CR_013P.8","CR_030P.18","CR_010P.12","CR_034P.9","CR_010P.20","CR_040P.13","CR_028P.12","CR_031P.15"
"Abies",19,4,2,9,8,6,10,5,5,2,5,62,11,6,1,5,43,924,672,14,12,18,0,3,21,5,5,3,1732,40,2,0,9,297,0,234,0,2,19,1,0,2,2551,0,0,0,2,0,4,4,4,451,1644,0,9,779,9,2,5,1,15,10,478,9,10,1,8,10,302,165,170,3,5,1919,1645,3,0,3,46,8,13,5,1,0,1,310,11,1,2,12,403,13,508,4,0,824,134,15,0,5,164,61,2,1,0,4,3,6,5,5278,13,1,3,2,1020,4,263,0,4,2,23,8,1,5,0,7,695,1,6,35,2,1,1235,1,5,8,6,0,0,2,119,5,0,0,616,9,46,12,17,2,2,0,0,9,21,14,267,283,0,0,5,1634,4,4,5,242,2953,7,1,4,2,8,5,1,0,12,25,0,4,4,0,3,1,3,10,13,0,358,1,3,2144,2,17,2,4,0,0,3205,8,17,19,13,1,1722,1424,6,0,2,0,609,11,346,5,796,9,4,11,8,19,8,2007,2,3,11,15,1047,8240,10,0,0,1,0,1047,3,10,12,4,1439,0,7,2,0,396,129,13,1022,4,6,1,0,2,585,3,1,5,7,14,1,13,1,4,4,5,224,8,1,2,9,19,44,1,2,246,2,0,0,1,1,13,4,7,0,6,12,9,4,2,16,0,0,0,7170,215,11,3,0,0,350,0,1,0,13,7,4,2,4,0,5,18,1,356,4,12,10,4,12,1,3,2,5,0,1,13,6,10,3837,256,443,1,4,11,7,0,4,4,12,3,0,134,5,686,17,6,2,8,1,8,5,2229,2,17,0,11,25,4,3,1,3,3,6,6,15,8,4,3,5,12,8,6985,5,14,1372,8,0,8,1190,0,1,1,0,8,18,0,2,12,1,1,6,6842,0,68,9,5,3,1,1,5,0,6335,2,3,13,1,1,55,18,8,11,6,2,0,0,3,10,1,5,0,10,8,0,13,20,1258,1,64,6,1,1,6,0,620,0,1601,0,5,9,297,9,13,8,1,5,2,1,5,0,5,2,4,261,10,53,3,19,0,155,0,4,8,3,4,734,0,4,5,4,2,658,8,0,1425,10,7,2,1934,325,3,2,6,11,0,33,5,3,0,316,13,1417,1071,649,0,1,0,3,0,0,0,4,4,0,22,8,747,2,121,17,6,0,5,9,3,1893,2,965,5,15,4,631,1,6,16,217,23,3,44,7,823,0,5185,17,0,4,2235,5,8,5369,3712,0,1,0,1,7,0,7,1,338,6,337,4,0,1,240,23,4,1436,4776,2,7,127,516,957,3,5,0,5,3,21,1024,44,707,38,25,340,7,2033,4065,3,3044,2,0,6,3,4,5,2,0,2,2140,21,4,5,9,1689,0,15,15,814,14,6,530,5,8,0,447,123,7,0,5,1,16,10,2,1,7,3,4,3,3581,17,8,18,7,1,6,0,2,1,39,145,4,2686,0,0,6,16,48,68,153,0,3,4,0,11,0,1,7,0,5,20,1552,15,27,234,10,5,2
"Abies firma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acaena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acaena emittens",4,0,0,0,0,0,0,30,38,0,0,0,4,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,164,44,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,50,5,0,0,0,0,4,624,0,0,0,0,0,0,0,0,74,0,0,0,0,0,18,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,106,0,8,243,0,0,1,14,1,0,0,0,0,0,3,0,2,0,1,34,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1,4,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,76,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,12,165,0,0,1,0,101,0,0,0,0,5,3,0,0,0,0,1,0,0,0,1,82,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,44,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,16,0,45,1,1,0,0,0,0,0,48,15,68,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,89,0,0,0,1,0,0,0,0,2,0,2,0,1,33,0,0,0,1,0,1,0,1,0,0,4,0,0,0,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,0,0,0,0,0,0,14,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,83,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,2,0,0,1,0,0,0,3,60,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,1,13,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Acalyphoideae",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acantheae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
